User_ID,Age,Gender,Job_Type,Annual_Income,Marital_Status,Number_of_Dependents,Rent,EMI,Grocery,Food_Outside,Travel,Entertainment,Healthcare,Subscriptions,Education,Savings,Financial_Goal,Target_Monthly_Expense
530,21,Male,Student,832530.0,Single,3,17823.0,7868,4625.0,2412,1822,446,1957,746,2049,17158.0,Education,39748
531,62,Female,Salaried,636068.0,Married,1,12434.0,3512,5351.0,1612,1823,764,2168,580,948,5216.0,Emergency Fund,29192
532,28,Male,Self-Employed,331358.0,Married,3,3626.0,5851,4004.0,1677,477,1717,1691,1027,1982,5318.0,Save for Trip,22052
533,46,Male,Salaried,408129.0,Single,1,6489.0,6319,6159.0,3051,1556,833,395,858,4253,5144.0,Buy House,29913
534,53,Female,Salaried,363601.0,Married,4,17764.0,17195,4789.0,2570,370,1360,978,805,4119,12084.0,Education,49950
535,42,Male,Self-Employed,492411.0,Married,3,9161.0,7572,4393.0,1583,1089,540,0,786,1497,17030.0,Emergency Fund,26597
536,38,Female,Self-Employed,563420.0,Single,0,22474.0,10036,3762.0,1182,2439,1044,2703,937,0,,Buy House,44126
537,53,Male,Self-Employed,366912.0,Single,1,21577.0,12352,4002.0,3387,517,1725,0,503,1650,,None,45584
538,27,Male,Freelancer,894132.0,Married,1,19448.0,13505,3019.0,1956,1443,1442,1763,489,0,,Buy House,41039
539,54,Female,Self-Employed,334944.0,Single,1,14491.0,8823,5635.0,855,690,1392,2177,906,2816,10726.0,None,37785
540,26,Male,Salaried,869221.0,Single,4,17165.0,6601,,1558,1806,0,2096,1038,1216,10136.0,None,35285
541,41,Other,Salaried,837033.0,Single,2,11721.0,6035,4936.0,249,2423,568,3061,344,525,,None,29862
542,52,Female,Self-Employed,779661.0,Married,0,11851.0,2869,6823.0,0,1032,1090,825,995,197,3801.0,None,25070
543,52,Male,Salaried,461247.0,Single,3,6000.0,11552,4820.0,2955,1716,850,1128,1188,1156,6033.0,Education,31365
544,53,Female,Salaried,668490.0,Married,1,11777.0,18959,4763.0,1120,1278,633,0,172,244,,None,38883
545,35,Male,Salaried,344526.0,Single,4,5657.0,13407,4924.0,781,525,394,1612,601,2790,14184.0,None,30691
546,56,Female,Self-Employed,782181.0,Married,1,12031.0,8084,5439.0,1434,1855,1690,802,809,0,4867.0,None,30743
547,49,Male,Salaried,,Married,3,5945.0,2860,4298.0,1663,1986,1237,2113,1530,2774,10971.0,Emergency Fund,24406
548,41,Female,Freelancer,518136.0,Single,0,7657.0,5782,6278.0,1406,513,1612,919,713,3149,6970.0,Save for Trip,28029
549,40,Male,Self-Employed,355251.0,Married,1,0.0,9611,5195.0,1094,2364,2659,1769,681,2992,3471.0,Buy House,25591
550,49,Male,,104499.0,Single,4,8087.0,6638,,1959,2771,0,2856,892,626,8986.0,Buy House,27712
551,54,Female,Freelancer,392292.0,Married,4,8401.0,7493,4485.0,1760,609,1184,884,541,1662,11483.0,Save for Trip,27019
552,29,Female,Self-Employed,822560.0,Single,2,10455.0,9540,6714.0,3695,2878,835,2580,800,1590,6755.0,Education,39087
553,30,Male,Self-Employed,,Single,4,17953.0,8851,4014.0,1635,1504,1824,63,754,0,10460.0,None,36150
554,40,Male,Self-Employed,566134.0,Married,2,11736.0,17296,5630.0,1958,1431,1694,1835,1199,324,3446.0,Emergency Fund,43103
555,42,Female,Salaried,731111.0,Married,0,16640.0,17107,5717.0,1085,3163,898,1834,793,2886,20272.0,Buy House,50123
556,52,Female,Self-Employed,961134.0,Single,3,16843.0,6763,3387.0,2648,2338,1094,1239,1516,329,9587.0,Save for Trip,36157
557,58,Male,Salaried,865001.0,Single,2,,12127,2830.0,3665,877,1715,2088,402,4173,14090.0,None,46927
558,47,Male,,405533.0,Single,1,7470.0,2433,4516.0,1904,992,1505,1740,751,2665,9324.0,Buy House,23976
559,34,Male,Freelancer,211486.0,Married,1,6090.0,11763,6208.0,1370,1826,2278,1783,813,400,11536.0,Buy House,32531
560,37,Female,Self-Employed,1071923.0,Single,3,11418.0,9935,2794.0,2181,1815,1189,1014,824,3423,,Buy House,34593
561,42,Male,Salaried,1053798.0,Single,4,6788.0,4393,3691.0,2477,1462,767,1201,384,1885,12156.0,None,23048
562,39,Male,Salaried,637691.0,Single,1,10851.0,12613,6009.0,4891,796,391,2265,894,3849,10109.0,Education,42559
563,30,Female,Salaried,345902.0,Married,2,7252.0,3900,,1851,953,1145,726,296,2152,10247.0,Save for Trip,21672
564,36,Male,Salaried,792645.0,Single,3,5904.0,7469,6534.0,1659,1476,346,1051,482,3089,10231.0,Save for Trip,28010
565,53,Female,Salaried,578403.0,Single,1,13777.0,8583,8976.0,845,0,1083,346,581,2879,5691.0,Buy House,36984
566,29,Male,Self-Employed,577404.0,Single,4,21326.0,1241,3777.0,1701,1998,2213,1441,982,1536,12719.0,Education,36215
567,58,Male,Salaried,778892.0,Single,4,10749.0,8638,7209.0,1579,1758,1682,3140,1005,1586,9459.0,Education,37346
568,36,Male,Unemployed,666875.0,Married,1,13386.0,4393,5492.0,2547,564,40,1887,885,2639,12482.0,None,31833
569,29,Female,Salaried,362837.0,Married,3,12325.0,6348,3812.0,1730,1985,0,508,662,2555,2417.0,Save for Trip,29645
570,26,Male,Student,535052.0,Married,0,11828.0,7610,7389.0,980,0,0,2635,1091,3859,12270.0,Buy House,34984
571,24,Female,Student,732231.0,Single,1,,1218,5610.0,942,1869,584,667,682,3200,11809.0,Buy House,33917
572,45,Female,Self-Employed,702050.0,Married,4,10617.0,5969,6785.0,1578,2398,770,2226,500,2670,13416.0,Education,33513
573,31,Female,Freelancer,652403.0,Single,0,0.0,7300,8519.0,2756,1894,1784,1445,1045,0,13618.0,Emergency Fund,20141
574,48,Male,Salaried,786685.0,Single,3,7613.0,6534,4839.0,2178,2103,1564,1885,108,3325,11330.0,None,30149
575,36,Male,Self-Employed,527657.0,Married,4,12534.0,4186,5829.0,2470,2166,1400,2400,804,2252,6891.0,Education,34041
576,64,Male,Salaried,635734.0,Single,3,11465.0,2582,3327.0,2014,1896,576,300,616,1298,8380.0,None,24074
577,33,Male,Salaried,-75116.0,Single,1,10852.0,3924,4302.0,2398,1447,606,1237,981,1874,5358.0,Education,27621
578,22,Male,Self-Employed,510070.0,Married,3,9449.0,250,4878.0,1647,1181,529,2177,843,0,7146.0,Education,19106
579,52,Female,Salaried,752781.0,Single,4,12430.0,4614,5317.0,1139,2646,1982,1340,770,4248,12117.0,Education,34486
580,29,Male,Self-Employed,521921.0,Married,1,22276.0,12914,1807.0,1161,2107,565,1030,408,2538,2099.0,Emergency Fund,44806
581,42,Male,Salaried,506755.0,Married,4,10369.0,1821,7323.0,1111,2685,0,1390,821,4686,11849.0,Save for Trip,30177
582,38,Male,Salaried,391709.0,Single,4,22817.0,11638,5951.0,3264,2491,880,1063,897,5801,9828.0,Buy House,54802
583,53,Female,Salaried,800673.0,Single,0,14358.0,2630,5775.0,2977,329,2090,1179,685,0,4363.0,None,28019
584,40,Male,Salaried,,Single,2,8648.0,10014,8073.0,1573,834,952,2624,785,963,8680.0,Education,34466
585,33,Female,Salaried,765083.0,Single,3,16335.0,18520,7432.0,2167,0,958,1189,1020,1614,8112.0,Buy House,48893
586,56,Male,Salaried,254757.0,Single,3,0.0,10361,4773.0,2697,0,72,2593,622,2100,13165.0,Education,22988
587,62,Female,Salaried,567910.0,Married,0,11924.0,7232,4146.0,1409,0,1379,2357,364,586,11534.0,Save for Trip,29092
588,59,Female,Freelancer,543978.0,Single,3,14593.0,7352,5934.0,1877,0,1696,1892,1044,3703,6212.0,Save for Trip,37332
589,56,Male,Salaried,543886.0,Single,0,14655.0,11552,7327.0,1050,1262,876,1049,947,4074,7228.0,Save for Trip,42792
590,31,Male,Self-Employed,476794.0,Single,3,15185.0,9575,4777.0,1128,2675,1522,1700,1013,0,11061.0,Education,37262
591,48,Male,Salaried,530779.0,Single,3,15624.0,9064,6334.0,2672,1855,0,1568,617,3147,16879.0,Buy House,39781
592,22,Male,Student,769929.0,Married,4,13486.0,6124,7560.0,2065,2196,2121,1054,801,175,8942.0,Save for Trip,35582
593,52,Female,Salaried,217430.0,Single,0,15614.0,9320,6482.0,2029,1554,1078,1592,882,2524,10201.0,None,41075
594,40,Female,Salaried,955459.0,Married,3,9201.0,832,2608.0,3137,1644,514,1119,998,694,3695.0,Emergency Fund,20747
595,46,Female,Self-Employed,696768.0,Single,2,17882.0,5608,,1571,2277,718,2983,922,3474,,Emergency Fund,38643
596,60,Female,Salaried,591534.0,Single,0,9700.0,15156,7975.0,2714,1337,2522,607,626,3605,5259.0,Emergency Fund,44242
597,28,Male,Self-Employed,781367.0,Single,0,17785.0,11488,5165.0,1174,1626,1156,2057,816,2143,16649.0,Emergency Fund,43410
598,35,Male,Salaried,309633.0,Single,0,11900.0,7483,5495.0,1583,1093,1264,1527,436,4317,3090.0,Emergency Fund,35098
599,64,Female,Unemployed,467060.0,Married,4,13091.0,3632,5852.0,1276,282,1035,2103,848,1436,3039.0,Emergency Fund,29555
600,29,Male,Salaried,575785.0,Single,0,16411.0,16057,7148.0,1208,1372,615,2176,1330,2772,13553.0,Education,49089
601,26,Female,Salaried,873112.0,Married,4,19533.0,5509,3826.0,3780,324,0,2414,258,2708,11176.0,Buy House,38332
602,27,Male,Freelancer,590701.0,Single,2,12203.0,4168,4381.0,730,2380,1528,1196,731,1819,12143.0,None,29136
603,61,Male,Salaried,690011.0,Married,1,13081.0,8696,3492.0,1301,1989,755,313,730,3024,10764.0,Buy House,33381
604,34,Other,Freelancer,482084.0,Single,4,0.0,5838,1904.0,0,2990,932,3614,846,3219,12869.0,None,18381
605,55,Male,Salaried,697368.0,Single,3,7653.0,0,5615.0,1477,716,1749,1260,696,1083,11520.0,Save for Trip,20195
606,24,Other,Freelancer,935448.0,Single,0,4445.0,2236,3701.0,1818,127,1530,312,436,2497,12114.0,None,17102
607,63,Other,Salaried,799105.0,Single,1,9973.0,7208,6444.0,2846,0,693,1758,899,1889,14057.0,Education,31684
608,30,Female,Freelancer,583709.0,Married,4,8661.0,3485,4090.0,1498,3075,1355,1393,995,2241,5854.0,Save for Trip,26793
609,57,Female,Freelancer,735098.0,Single,3,8043.0,1790,2980.0,836,1103,1517,2143,1194,4359,4282.0,Emergency Fund,23965
610,59,Female,Salaried,715503.0,Single,1,6833.0,2138,6581.0,1495,0,480,1461,926,452,11894.0,Education,20366
611,26,Female,Salaried,701318.0,Single,2,14627.0,7257,5784.0,2263,1970,709,2549,1091,3844,8762.0,Education,40094
612,44,Male,Salaried,822391.0,Single,4,3049.0,7484,4752.0,2759,1166,1214,1300,537,1354,6232.0,Buy House,23615
613,19,Male,Unemployed,820896.0,Married,4,6545.0,11362,4836.0,1363,554,1533,497,606,1367,16940.0,Buy House,28663
614,22,Female,Salaried,574568.0,Married,2,12166.0,3191,5901.0,1055,2987,1283,2005,224,1389,20491.0,Save for Trip,30201
615,46,Male,Salaried,728376.0,Married,4,16848.0,7261,7552.0,1617,1359,1278,576,1057,1869,0.0,Education,39417
616,54,Male,Salaried,523381.0,Single,0,7349.0,5317,5603.0,2343,2067,705,1609,748,2122,0.0,Save for Trip,27863
617,55,Male,Salaried,415386.0,Married,4,,10205,5705.0,2797,1933,363,2386,891,960,12103.0,Emergency Fund,42492
618,36,Female,Self-Employed,546101.0,Married,0,0.0,8068,4314.0,976,4216,1352,994,1041,0,0.0,Buy House,17932
619,25,Female,,584744.0,Single,4,12011.0,9372,4646.0,1279,1299,521,1997,1093,2645,15854.0,Education,34863
620,62,Male,Self-Employed,267684.0,Single,3,13530.0,12928,28.0,0,501,681,1740,640,1556,16220.0,Emergency Fund,31499
621,18,Female,Freelancer,772067.0,Married,3,7058.0,8793,3585.0,0,821,0,1061,595,358,9832.0,Education,21946
622,39,Female,Self-Employed,46535.0,Single,1,5451.0,12385,3402.0,892,2490,590,2659,669,1722,10752.0,Emergency Fund,30260
623,34,Female,Salaried,1142963.0,Married,3,12633.0,2760,3362.0,1011,1751,708,1999,481,1836,8076.0,None,26541
624,24,Female,Salaried,900376.0,Single,2,11822.0,2161,4427.0,1518,1030,314,2555,844,5389,6391.0,Emergency Fund,30060
625,42,Female,,547798.0,Single,1,7942.0,13297,4586.0,2300,1843,372,915,1110,2884,6192.0,None,35249
626,62,Male,Unemployed,601885.0,Married,3,10556.0,9120,3402.0,1914,2828,1061,1619,246,3481,13962.0,Buy House,34227
627,21,Female,Student,660594.0,Married,0,8991.0,10384,6888.0,2278,3159,1376,2376,681,2271,12460.0,None,38404
628,53,Male,Salaried,482168.0,Single,4,18254.0,12678,5898.0,2904,1869,1387,1595,395,2229,12551.0,Save for Trip,47209
629,23,Female,Salaried,638524.0,Married,3,15400.0,4971,5309.0,2246,2635,1442,2909,546,2489,18682.0,Emergency Fund,37947
630,48,Other,Salaried,571200.0,Single,0,12969.0,5537,5968.0,1800,78,1705,1064,659,130,8838.0,Buy House,29910
631,36,Male,Student,581145.0,Married,1,21436.0,11284,2421.0,2460,2122,1873,1562,1176,1281,13196.0,Education,45615
632,61,Male,Student,636292.0,Married,4,17174.0,6618,2379.0,107,1319,883,2231,1303,1045,14253.0,Emergency Fund,33059
633,56,Female,Freelancer,337294.0,Married,3,18220.0,5774,6827.0,1743,351,680,1873,1021,1015,5433.0,Emergency Fund,37504
634,44,Male,Salaried,607914.0,Single,1,19905.0,2920,8573.0,2641,568,1526,1779,830,172,7409.0,None,38914
635,27,Female,Self-Employed,632690.0,Single,3,,11575,5082.0,1854,684,0,1824,838,1005,9356.0,None,34076
636,43,Male,Salaried,625770.0,Married,1,5911.0,5825,8376.0,2228,1793,935,0,1025,3568,5587.0,Emergency Fund,29655
637,36,Male,Salaried,556834.0,Single,3,3081.0,11522,5002.0,1800,393,408,1373,1039,0,10560.0,Emergency Fund,24147
638,56,Other,Self-Employed,827572.0,Single,0,15696.0,9978,3937.0,2607,2209,446,1744,987,2888,9243.0,Save for Trip,40492
639,20,Female,Salaried,529269.0,Married,2,7167.0,13573,6470.0,2888,2464,624,1832,1102,5307,3607.0,Education,41427
640,62,Female,Salaried,645465.0,Single,0,28634.0,1238,1774.0,0,1381,1493,808,604,5243,,Save for Trip,41074
641,30,Male,Student,859460.0,Single,4,7789.0,0,4119.0,1338,1293,2501,1740,747,1913,11038.0,Save for Trip,17967
642,45,Female,Freelancer,584125.0,Single,3,6926.0,15016,3759.0,0,1656,1542,1879,1021,2292,8764.0,Education,34067
643,37,Female,Salaried,642893.0,Single,2,15889.0,12046,3200.0,0,1006,0,1716,659,4389,12239.0,Buy House,36644
644,45,Female,Self-Employed,580723.0,Single,2,15992.0,3902,4252.0,2584,2961,848,1513,1474,740,12838.0,Education,34266
645,25,Female,Salaried,847474.0,Married,4,20985.0,4713,5436.0,2793,0,548,816,1002,4361,3611.0,Buy House,40064
646,58,Female,Freelancer,548455.0,Single,4,10752.0,8187,6967.0,1494,1113,281,931,679,1940,6094.0,Emergency Fund,32344
647,56,Male,Freelancer,856671.0,Single,2,17800.0,7192,6562.0,1308,0,874,1765,1310,4539,0.0,Save for Trip,41285
648,18,Male,Freelancer,579282.0,Married,4,11188.0,5344,2609.0,1825,2076,493,0,1034,809,21289.0,Emergency Fund,25225
649,20,Female,Freelancer,428108.0,Married,4,14730.0,4611,8435.0,4800,1714,433,2410,579,2984,1567.0,Save for Trip,40696
650,30,Male,Salaried,735875.0,Married,3,10932.0,6082,6870.0,955,2254,1481,1188,862,3861,18602.0,None,34485
651,45,Female,Salaried,539066.0,Single,0,21569.0,9974,5061.0,650,1660,1130,1824,559,2117,11699.0,Save for Trip,44544
652,42,Male,Salaried,724100.0,Married,1,23338.0,8065,7018.0,2600,1892,2138,2455,928,0,3001.0,Save for Trip,48281
653,50,Female,Salaried,54119.0,Single,2,6051.0,6037,3618.0,2653,627,143,543,482,3438,14433.0,Save for Trip,23592
654,55,Female,Freelancer,601041.0,Single,1,18385.0,5329,6267.0,2386,1648,0,1847,840,3024,10408.0,Buy House,39711
655,23,Male,Salaried,508079.0,Single,2,7349.0,16575,2098.0,2075,718,774,1312,780,899,16357.0,None,32580
656,61,Male,Salaried,387348.0,Single,2,17810.0,5693,4539.0,1687,2112,653,146,936,2498,13190.0,Buy House,36074
657,62,Male,Salaried,489352.0,Single,0,20200.0,10084,,500,552,1458,2737,982,2019,16275.0,Education,45578
658,49,Female,Unemployed,485259.0,Married,2,7191.0,17854,4313.0,3860,984,1292,747,980,793,8583.0,Education,38014
659,62,Female,Salaried,590403.0,Single,2,5889.0,10764,4379.0,3929,1416,1412,2502,853,541,10793.0,None,31685
660,64,Male,Self-Employed,326535.0,Married,0,9524.0,9896,4094.0,1501,3032,0,599,497,0,16628.0,Education,28670
661,38,Female,Salaried,663255.0,Single,4,17840.0,12941,4704.0,3407,1532,817,328,861,3205,6627.0,Emergency Fund,45635
662,33,Male,Salaried,873243.0,Single,1,14378.0,13566,3482.0,2342,3521,0,540,707,1144,11985.0,Buy House,39354
663,38,Male,Salaried,656186.0,Single,2,10759.0,7891,,235,2882,1744,649,1278,2839,6263.0,Save for Trip,35650
664,28,Female,,761798.0,Married,0,15605.0,2686,3201.0,327,1196,417,760,1010,3517,13160.0,Emergency Fund,28719
665,54,Male,Self-Employed,818912.0,Married,2,10540.0,7380,5486.0,2762,1904,979,2129,281,752,9520.0,Save for Trip,32213
666,53,Male,Student,847298.0,Married,0,12659.0,10320,6268.0,3287,2055,0,3199,872,1864,10884.0,Education,40488
667,52,Male,Salaried,974028.0,Married,1,14725.0,6622,3896.0,2355,0,429,2640,1533,201,16744.0,Buy House,30956
668,36,Male,Salaried,500160.0,Married,3,14388.0,7073,2816.0,2255,0,782,1533,527,3283,9175.0,Education,32442
669,37,Male,Student,456303.0,Married,4,20452.0,14474,4133.0,1121,1949,921,1301,971,0,11440.0,Buy House,45091
670,35,Male,Salaried,756693.0,Married,3,5989.0,11143,4406.0,875,2012,1063,1288,673,2398,15120.0,Save for Trip,29847
671,64,Female,Self-Employed,741653.0,Single,0,16734.0,10362,6378.0,2767,1652,1492,0,1285,1495,8375.0,Save for Trip,41901
672,58,Male,Freelancer,755135.0,Single,2,7298.0,3858,4778.0,2048,386,1728,1658,600,3265,8440.0,Save for Trip,25619
673,31,Female,Salaried,977856.0,Single,4,9975.0,7018,5004.0,1882,3912,1465,1927,764,1897,3111.0,None,33844
674,32,Male,Freelancer,602274.0,Single,1,11202.0,9531,2892.0,3255,2067,1082,769,987,4975,9113.0,Education,36760
675,48,Male,Salaried,685231.0,Single,4,9883.0,10609,4709.0,3692,2519,557,348,400,1847,15680.0,None,34564
676,18,Female,Salaried,403922.0,Single,2,5275.0,14352,7155.0,2583,2433,806,1485,751,2233,7043.0,Emergency Fund,37073
677,20,Other,Salaried,1027064.0,Single,3,9746.0,10677,6644.0,1068,1647,971,2223,961,3251,8412.0,None,37188
678,33,Male,Freelancer,532691.0,Single,0,13362.0,5843,4245.0,2053,1585,1241,736,117,2738,6811.0,Save for Trip,31920
679,40,Female,Salaried,538357.0,Married,3,11329.0,15524,6245.0,1576,2403,407,649,1055,819,3132.0,Buy House,40007
680,28,Female,Freelancer,530650.0,Single,4,19363.0,6890,4790.0,1862,977,904,1003,461,2459,7395.0,Education,38709
681,29,Female,Student,471021.0,Single,2,11461.0,11665,5756.0,798,2473,1609,1863,444,1159,8624.0,Education,37228
682,27,Female,Self-Employed,454113.0,Married,0,12074.0,5695,4558.0,3253,1676,1674,910,1182,4681,19193.0,Education,35703
683,49,Male,Self-Employed,495259.0,Single,2,12912.0,4892,3550.0,1527,2092,709,2728,621,0,9227.0,Emergency Fund,27805
684,33,Male,Salaried,326841.0,Single,2,11335.0,2581,3474.0,3604,1678,612,1139,271,3883,12155.0,Education,28577
685,25,Female,Salaried,,Single,4,14389.0,2864,5790.0,1873,613,1083,1058,867,1910,10611.0,Emergency Fund,30447
686,55,Male,Salaried,989793.0,Single,3,9410.0,6101,1030.0,1520,1332,950,1551,1108,63,13806.0,Save for Trip,23065
687,29,Female,Self-Employed,747131.0,Single,2,6170.0,13232,6597.0,1330,2721,0,2296,549,16,2185.0,Buy House,32638
688,41,Male,Unemployed,785181.0,Single,2,11642.0,9051,4639.0,1341,2144,2214,1979,891,2206,11142.0,Save for Trip,36107
689,45,Male,Student,835442.0,Single,2,13924.0,892,4036.0,2218,2605,532,21,802,223,9305.0,None,25253
690,25,Female,Student,,Married,0,12815.0,11322,6498.0,1944,2440,669,1905,485,2711,11712.0,Education,40789
691,45,Male,Student,245715.0,Single,2,7557.0,7982,850.0,2802,930,121,2306,538,1409,13495.0,None,24495
692,53,Female,Salaried,354023.0,Married,2,12802.0,14066,5693.0,1227,0,1709,2378,988,2510,10371.0,Emergency Fund,41314
693,43,Female,Self-Employed,439255.0,Single,4,15394.0,6033,7461.0,2232,2347,515,2696,1050,0,7731.0,Save for Trip,37499
694,25,Female,Student,506054.0,Single,2,13012.0,4380,2942.0,3211,1330,1290,3299,829,0,14161.0,Education,28646
695,45,Female,Salaried,539886.0,Married,2,8450.0,14932,4318.0,3381,2190,1441,1579,0,0,12987.0,Emergency Fund,36163
696,45,Female,Unemployed,510604.0,Single,4,,12014,5679.0,1272,2900,554,1234,1380,4519,15042.0,Save for Trip,41935
697,54,Female,Salaried,643862.0,Married,0,20513.0,1160,2644.0,1656,1146,465,851,1310,3792,9960.0,Save for Trip,33537
698,58,Female,Self-Employed,607059.0,Single,3,6810.0,9444,5369.0,1378,738,1178,547,1026,3055,7374.0,Emergency Fund,29545
699,53,Male,Freelancer,455433.0,Married,4,17479.0,1170,9031.0,1137,479,0,1135,487,3299,19162.0,Buy House,33822
700,44,Male,,,Single,0,787.0,11822,5491.0,2671,1478,1468,1084,425,2652,5528.0,Save for Trip,27878
701,34,Male,Salaried,401426.0,Single,3,9274.0,3547,5441.0,876,88,821,653,784,5402,15273.0,Education,26886
702,26,Male,Freelancer,490152.0,Married,2,9848.0,2985,3194.0,4161,1853,487,1679,615,1480,15228.0,None,26302
703,50,Female,Self-Employed,550584.0,Married,4,17405.0,13550,6995.0,2233,1900,614,1460,1145,3061,13264.0,Emergency Fund,48363
704,37,Female,Salaried,374067.0,Single,2,20863.0,9655,912.0,1821,1895,838,1562,1101,1428,9708.0,Buy House,40075
705,30,Female,Freelancer,501839.0,Married,4,17563.0,10943,4945.0,4013,0,710,714,354,2687,11018.0,Save for Trip,41739
706,45,Male,Self-Employed,373803.0,Single,3,14558.0,6064,6374.0,687,2690,1971,1848,1153,4140,7066.0,None,39485
707,46,Female,Self-Employed,574836.0,Single,0,17314.0,7677,1250.0,1223,1628,194,970,731,1131,2445.0,Buy House,32118
708,30,Male,Salaried,385382.0,Single,4,5237.0,14271,1979.0,748,1050,335,2678,597,0,8280.0,Emergency Fund,26183
709,63,Female,Salaried,430219.0,Married,0,16469.0,9283,2784.0,1976,2150,1017,0,782,1218,9424.0,Save for Trip,35421
710,52,Female,Self-Employed,338263.0,Married,2,6489.0,17321,7059.0,1360,2137,1784,1047,440,0,4426.0,Save for Trip,37119
711,23,Male,Salaried,569300.0,Single,2,8304.0,7217,4045.0,698,354,736,1893,1170,2289,4929.0,Emergency Fund,26706
712,35,Male,Salaried,426710.0,Single,3,13978.0,11839,6345.0,816,1451,337,450,749,1798,6484.0,None,37763
713,22,Male,Unemployed,781357.0,Married,3,5821.0,12438,6103.0,2331,900,1055,2552,1127,0,10334.0,None,31989
714,64,Female,Self-Employed,681170.0,Single,1,18129.0,8788,2509.0,2634,1081,1469,2315,1122,0,13759.0,Education,35883
715,42,Female,Freelancer,586030.0,Single,1,12007.0,13449,4416.0,620,2023,1430,2857,634,2033,10512.0,Save for Trip,39469
716,19,Female,Salaried,440503.0,Single,3,5493.0,5859,4658.0,1806,629,63,2526,833,7071,20920.0,Emergency Fund,28938
717,27,Male,Salaried,676104.0,Single,2,19548.0,11450,5767.0,1586,2055,1429,2082,577,1617,8905.0,Save for Trip,46111
718,47,Male,Salaried,738140.0,Single,0,10685.0,3843,5342.0,1345,575,688,1611,1191,1103,10072.0,Education,26383
719,62,Female,Salaried,628538.0,Single,3,11181.0,2945,4901.0,3610,2707,0,536,650,0,16607.0,Education,26361
720,22,Female,Self-Employed,920740.0,Married,0,10898.0,8157,6747.0,1947,848,1658,2579,999,3073,8105.0,Buy House,36906
721,50,Male,Self-Employed,691927.0,Married,1,0.0,7485,6726.0,2167,3795,0,979,1100,617,9078.0,Save for Trip,20156
722,18,Male,Salaried,782721.0,Single,0,18291.0,3570,2828.0,2683,2314,42,1322,1291,120,9555.0,Emergency Fund,32461
723,35,Female,Salaried,626713.0,Single,3,12140.0,11060,4327.0,2082,1308,1713,1183,1122,3816,14195.0,Buy House,38751
724,49,Male,Salaried,735133.0,Single,2,12766.0,14246,5048.0,1980,549,0,1061,716,1043,11135.0,Emergency Fund,37389
725,64,Male,Salaried,440644.0,Single,3,15405.0,6705,5127.0,2826,2021,548,2421,1236,2195,9464.0,Education,38484
726,28,Male,Salaried,508320.0,Married,4,10532.0,12164,5826.0,1421,2514,352,2223,1119,2971,12130.0,None,39122
727,38,Female,Student,669873.0,Married,4,6393.0,5461,5560.0,1549,2122,848,1913,374,0,6056.0,None,23893
728,43,Female,Self-Employed,668420.0,Married,4,7346.0,7202,5893.0,1005,921,491,1505,1130,776,13274.0,Emergency Fund,26269
729,42,Female,Self-Employed,701522.0,Married,2,16366.0,7804,6070.0,3413,2927,288,138,935,4824,15982.0,Emergency Fund,42765
730,39,Female,Salaried,820079.0,Single,3,11941.0,11335,4576.0,2555,1791,1308,1441,761,858,16021.0,None,36566
731,44,Female,Student,315006.0,Single,4,17030.0,7673,4494.0,2233,849,1448,2568,765,1134,7829.0,Buy House,38194
732,30,Male,Self-Employed,405109.0,Married,3,17909.0,8,7092.0,3558,3716,390,1104,791,1409,1319.0,None,35977
733,50,Female,Freelancer,645915.0,Married,1,16436.0,12799,4255.0,775,2153,1253,1050,691,3656,18926.0,Education,43068
734,51,Male,Salaried,,Single,4,18282.0,8455,6110.0,1917,1908,2769,2186,925,4525,,Save for Trip,47077
735,58,Female,,1275554.0,Single,4,8441.0,0,3867.0,514,1017,985,1477,1123,2349,10276.0,Emergency Fund,18583
736,52,Male,Freelancer,703144.0,Married,2,15010.0,13682,5502.0,592,1465,998,2488,483,2087,11879.0,Buy House,42307
737,18,Male,Student,,Single,3,9663.0,13896,5611.0,3127,686,940,801,239,1371,0.0,Education,36334
738,38,Male,Salaried,496906.0,Married,2,6528.0,3684,5973.0,3690,1685,1028,1661,814,3266,12760.0,Save for Trip,28329
739,23,Male,Salaried,503968.0,Married,2,14304.0,2328,7385.0,1584,2048,960,1760,1104,1301,14454.0,Buy House,32774
740,45,Male,Salaried,606028.0,Single,3,15771.0,12571,3501.0,1592,0,0,1433,1012,1778,12288.0,Emergency Fund,36965
741,34,Male,Salaried,622396.0,Married,1,10279.0,12578,5224.0,1559,211,1206,2574,660,4639,8836.0,Buy House,38930
742,22,Other,Student,508660.0,Married,3,12238.0,9928,5993.0,3687,589,539,1534,727,2263,8195.0,Education,37498
743,48,Male,Salaried,545370.0,Married,1,15515.0,6218,5998.0,1416,0,236,2050,230,2832,6102.0,None,34490
744,22,Female,Salaried,868857.0,Single,2,8940.0,4833,4536.0,3666,673,13,1444,1209,1347,10872.0,Emergency Fund,26661
745,55,Female,Salaried,876901.0,Single,1,16053.0,10400,5577.0,2047,2974,199,1485,665,1455,8552.0,Save for Trip,40855
746,20,Other,Salaried,650407.0,Single,1,7468.0,5436,4972.0,1515,2641,2167,1785,841,0,0.0,Emergency Fund,26339
747,40,Female,Salaried,331748.0,Single,1,14039.0,5460,6110.0,2268,880,569,753,713,3481,10605.0,Education,34273
